id,cluster_graph,cluster_kmean,ground
3715850196,8,8,4
3736170203,14,1,6
3728284107,1,8,12
3740052241,4,1,17
3724260027,4,1,17
3740302723,4,1,19
3723238539,8,8,6
3718415807,7,1,7
3739534588,4,1,19
3731376318,8,8,4
3742166838,4,1,1
3709397356,4,10,11
3732708242,4,1,17
3739325114,14,1,2
3727737543,8,8,2
3664541738,8,8,6
3723241407,8,8,6
3737066056,14,1,11
3703429324,8,8,6
3664562997,4,1,3
3736677743,8,8,2
3641777295,3,12,13
3731920207,4,10,3
3738195467,14,1,6
3735666549,8,8,0
3641767486,3,12,4
3732010959,14,1,18
3673084695,3,7,14
3711655059,14,1,17
3711771384,6,1,4
3740232214,14,1,17
3726963258,4,1,11
3736841128,14,8,15
3732218970,10,3,18
3687764366,14,1,1
3736344200,4,10,11
3731290042,4,10,10
3718297052,14,1,10
3670387950,10,1,4
3716916747,14,1,7
3721890512,14,1,5
3732706601,4,1,19
3675558535,4,10,7
3737494827,10,1,17
3730577605,8,8,13
3732711040,4,1,19
3730375312,4,1,17
3738163980,14,1,6
3706656699,14,1,15
3740231313,14,1,8
3704896303,14,1,19
3737065241,8,8,4
3730720194,4,1,12
3734213818,10,3,8
3641770042,3,9,13
3723217544,4,10,7
3701731722,8,8,17
3741138074,4,1,18
3711780164,14,1,6
3737515553,5,11,10
3732587432,8,8,16
3724349678,14,1,11
3736842052,14,8,0
3735129894,7,1,7
3735266151,14,1,11
3732708293,14,1,2
3735650008,4,10,12
3707759475,14,1,4
3724258629,14,1,0
3741481582,2,1,18
3741125847,14,1,7
3641766823,3,9,4
3734919525,14,1,1
3598845835,14,1,15
3690683736,14,1,5
3728826396,14,1,2
3732357331,14,1,0
3710751759,11,1,19
3641767702,3,9,13
3732005746,14,1,0
3738503630,6,1,6
3703434032,14,1,17
3710756337,14,1,12
3641774635,14,1,13
3709481584,8,8,4
3732890637,4,10,10
3736255795,14,1,5
3622508936,8,8,5
3712839025,4,10,1
3673078872,3,12,14
3716062022,14,1,12
3720128091,14,1,0
3742154360,8,8,15
3737648360,14,1,8
3635614728,10,1,2
3718388727,14,1,16
3661861055,14,1,14
3729092063,7,4,1
3724280682,3,5,13
3732711004,4,1,8
3732704903,7,1,8
3707038340,8,8,2
3742407096,8,8,12
3738534220,10,1,2
3741916905,4,1,14
3641777083,3,7,13
3673669734,8,8,11
3727540810,14,1,17
3735665665,8,8,0
3737787516,4,1,10
3735218997,14,1,4
3725262357,12,1,4
3686759489,14,1,2
3723236759,14,1,11
3741083262,14,1,6
3670243526,8,8,7
3720127424,14,1,12
3737397873,14,1,4
3725564838,14,1,6
3728463995,8,8,10
3728426360,1,1,4
3741517723,14,1,8
3706995810,1,1,5
3741588866,14,1,6
3735374477,14,1,6
3734467681,0,1,6
3738108382,8,8,7
3641766866,3,9,4
3733683006,4,1,6
3641775779,3,12,14
3735742164,14,1,10
3731643132,4,10,10
3740578243,14,1,6
3703431294,10,1,19
3724764727,9,1,6
3719613299,14,1,19
3729947683,10,1,2
3708574187,14,1,14
3720991428,4,1,2
3641768531,3,9,13
3732086091,4,1,9
3730983181,4,10,7
3736798822,4,1,8
3721786066,10,1,10
3716068182,14,1,19
3695087132,8,8,7
3736566235,4,1,2
3733407124,4,10,3
3742720063,4,1,10
3740884492,8,8,16
3726229371,14,1,16
3724257006,3,1,7
3641771014,3,12,14
3714444948,14,1,16
3732709192,8,8,19
3738377339,4,1,6
3736143091,4,1,6
3727402685,4,1,11
3731845135,14,1,12
3712727254,1,1,4
3735683954,10,1,5
3736346139,4,10,1
3740044821,14,1,7
3737783809,8,1,6
3728818966,14,1,16
3732489753,14,1,0
3732612100,14,1,1
3641766647,3,9,4
3673078808,3,5,14
3738158604,8,8,8
3733402718,4,10,1
3736256809,14,1,11
3732126059,8,8,3
3726292305,14,1,5
3739392611,10,3,18
3651754067,8,8,12
3737451006,14,1,4
3710526267,14,1,15
3732707471,7,1,2
3649666448,14,8,19
3735409924,7,1,0
3737405580,14,1,7
3732704923,4,1,19
3733438493,14,1,13
3708835883,6,1,9
3729001415,14,1,7
3741767383,14,1,7
3737723368,4,1,4
3738981922,8,8,2
3720122993,14,1,12
3584484398,14,1,11
3641768357,3,7,13
3732570080,7,1,11
3723988355,14,1,19
3688418060,8,8,12
3673080745,14,1,17
3741947507,14,1,11
3735956531,8,8,18
3730373638,14,1,2
3673082400,3,7,13
3720326473,14,1,1
3641769989,3,1,4
3725316569,14,1,6
3736648138,4,10,10
3724258124,14,1,3
3714629012,4,1,17
3737357769,4,10,3
3736647172,4,10,11
3667476344,14,1,16
3735306827,7,1,6
3699644267,14,1,13
3741968274,5,1,19
3740059000,10,1,15
3738514558,8,1,1
3723972823,14,1,2
3735365289,8,8,7
3737404038,14,1,5
3732282540,4,10,1
3664554925,14,1,4
3728467377,14,1,5
3728146520,14,1,16
3668047229,14,1,15
3730066671,4,1,1
3734118028,14,1,12
3738833453,14,1,6
3732715357,4,8,18
3681922904,8,8,11
3736840210,14,8,8
3664531955,14,1,2
3731365652,5,11,17
3724691051,0,1,6
3737043011,4,1,6
3668254640,14,1,13
3736839140,14,8,13
3726387224,7,4,8
3737987688,4,1,18
3739116156,14,1,11
3733813907,4,10,12
3691765287,1,1,4
3739558733,14,1,17
3732894230,4,10,11
3734123702,4,1,19
3734720606,14,1,13
3672714202,8,8,6
3737359708,4,10,1
3670843133,14,1,14
3726615898,4,1,18
3691150403,8,8,13
3734596946,4,10,1
3730371784,8,8,2
3735936484,14,1,17
3732415810,10,1,5
3741259248,14,1,16
3621022700,8,1,16
3737357802,4,10,1
3724819775,4,1,2
3736897918,14,1,17
3735955237,4,1,8
3737727290,4,1,17
3733570913,14,1,14
3641764860,3,7,13
3731286342,4,1,1
3737359678,4,10,1
3720305774,14,1,17
3728844807,4,10,1
3664560294,14,1,4
3722176010,8,8,7
3732705621,4,1,18
3730701144,14,1,6
3725353943,8,1,16
3736834848,14,8,5
3741970610,14,1,10
3720115111,8,8,6
3734873498,4,1,0
3654584312,4,10,1
3716402604,14,1,7
3673078968,3,9,13
