id,cluster
3701420292,11
3712625082,9
3664534049,11
3576920179,6
3590303623,11
3677574361,11
3676512433,0
3728004252,9
3613046264,11
3737301784,3
3738080536,6
3641818000,1
3730296704,5
3741652472,9
3677571574,11
3730295799,14
3720792891,0
3726706642,11
3694417130,0
3664561521,3
3732227337,6
3724283325,3
3735224232,10
3738079781,6
3694738651,6
3736837642,11
3733038094,3
3597210726,4
3719165720,6
3730355137,11
3732334774,0
3690376629,11
3690822022,9
3722078958,7
3664566535,10
3739548009,11
3735624409,9
3739540923,9
3664569359,6
3660402916,9
3708511439,11
3736461750,15
3626006447,4
3702558693,3
3741072427,11
3707383358,3
3738081533,0
3738076957,15
3733092655,1
3736863213,6
3729450167,9
3736440819,12
3725269981,4
3705898427,6
3661674712,9
3735225045,1
3667477972,11
3736833781,10
3664549741,6
3741714848,11
3740228656,17
3715833718,9
3726619692,18
3730667079,3
3736438870,9
3711771502,11
3734830056,7
3737913396,10
3728887478,11
3741661149,9
3728828230,7
3720399629,10
3720189094,7
3641771159,3
3732666032,11
3661677108,9
3732117137,0
3731370303,9
3738027557,3
3733365182,0
3645682476,7
3732039378,6
3736445225,8
3726117997,3
3623656829,9
3714345128,1
3630042904,7
3737525910,3
3677263075,6
3667909373,10
3670459911,10
3720129223,9
3739537528,17
3736331292,3
3710059086,3
3731725473,10
3737262887,7
3741151380,0
3728094708,3
3641771087,11
3730874575,9
3658777464,6
3717180033,1
3721857254,7
3728791480,16
3740231308,11
3720410334,4
3736389897,3
3703222634,1
3627723574,10
3713668871,6
3740392159,9
3719405745,8
3724284038,11
3660131161,8
3738567018,6
3675363211,3
3590317674,16
3731948729,9
3737302902,0
3725605613,3
3706082745,1
3732705232,1
3706087109,6
3734727297,1
3678671484,7
3733577210,6
3722977205,16
3741951508,1
3703428683,1
3735322439,9
3734020007,19
3641775716,1
3714628061,10
3736297822,1
3730355141,11
3725846809,1
3694897683,19
3724283011,9
3738122272,9
3732853334,11
3651897605,3
3736031813,11
3720177336,6
3697940654,3
3739544372,6
3736024481,3
3669209828,6
3737067021,6
3735323587,11
3708513181,6
3727013725,4
3659796428,7
3590309767,11
