id,cluster
3701420292,8
3712625082,6
3664534049,6
3576920179,6
3590303623,8
3677574361,0
3676512433,15
3728004252,15
3613046264,6
3737301784,6
3738080536,0
3641818000,3
3730296704,2
3741652472,13
3677571574,0
3730295799,3
3720792891,15
3726706642,0
3694417130,16
3664561521,6
3732227337,3
3724283325,3
3735224232,8
3738079781,3
3694738651,6
3736837642,7
3733038094,6
3597210726,5
3719165720,3
3730355137,16
3732334774,6
3690376629,7
3690822022,15
3722078958,6
3664566535,14
3739548009,8
3735624409,14
3739540923,13
3664569359,8
3660402916,8
3708511439,12
3736461750,8
3626006447,0
3702558693,15
3741072427,6
3707383358,6
3738081533,13
3738076957,8
3733092655,6
3736863213,6
3729450167,7
3736440819,6
3725269981,8
3705898427,12
3661674712,8
3735225045,13
3667477972,5
3736833781,9
3664549741,16
3741714848,17
3740228656,4
3715833718,17
3726619692,16
3730667079,1
3736438870,8
3711771502,18
3734830056,7
3737913396,7
3728887478,7
3741661149,16
3728828230,12
3720399629,5
3720189094,0
3641771159,7
3732666032,3
3661677108,13
3732117137,14
3731370303,6
3738027557,0
3733365182,4
3645682476,8
3732039378,0
3736445225,8
3726117997,16
3623656829,13
3714345128,9
3630042904,8
3737525910,7
3677263075,5
3667909373,13
3670459911,6
3720129223,6
3739537528,15
3736331292,13
3710059086,8
3731725473,6
3737262887,19
3741151380,4
3728094708,16
3641771087,2
3730874575,6
3658777464,3
3717180033,2
3721857254,6
3728791480,17
3740231308,12
3720410334,14
3736389897,16
3703222634,13
3627723574,6
3713668871,16
3740392159,8
3719405745,8
3724284038,16
3660131161,5
3738567018,12
3675363211,1
3590317674,13
3731948729,16
3737302902,0
3725605613,3
3706082745,12
3732705232,6
3706087109,12
3734727297,7
3678671484,3
3733577210,6
3722977205,8
3741951508,9
3703428683,18
3735322439,13
3734020007,2
3641775716,3
3714628061,12
3736297822,9
3730355141,14
3725846809,6
3694897683,8
3724283011,0
3738122272,2
3732853334,12
3651897605,13
3736031813,12
3720177336,5
3697940654,3
3739544372,13
3736024481,12
3669209828,8
3737067021,19
3735323587,8
3708513181,12
3727013725,7
3659796428,17
3590309767,8
3731469545,0
3740054447,7
3652073089,19
3733657541,17
3708510454,12
3732202341,1
3727086963,6
3733213888,8
3736575016,16
3641771228,3
3729835937,0
3731339767,6
3729693958,16
3725329388,6
3731086384,6
3714593817,6
3739288570,5
3732711007,4
3732112853,11
3673080821,17
3649664540,12
3664567641,9
3739547004,8
3732183140,2
3738793498,12
3726266848,6
3724268272,3
3699956924,6
3732711036,7
3714594624,11
3689060136,1
3606883718,0
3733962940,17
3727927783,17
3641768342,13
3668169080,14
3667473845,5
3731599814,18
3733056389,16
3670841342,19
3732893216,17
3736912097,8
3733150069,6
3730014538,6
3735313410,3
3708508814,12
3734719627,6
3646122151,8
