id,cluster_noun
3701420292,10
3712625082,10
3664534049,10
3576920179,10
3590303623,1
3677574361,16
3676512433,10
3728004252,10
3613046264,1
3737301784,9
3738080536,15
3641818000,10
3730296704,13
3741652472,14
3677571574,16
3730295799,13
3720792891,11
3726706642,1
3694417130,11
3664561521,10
3732227337,15
3724283325,3
3735224232,1
3738079781,15
3694738651,10
3736837642,14
3733038094,10
3597210726,2
3719165720,4
3730355137,11
3732334774,16
3690376629,14
3690822022,10
3722078958,4
3664566535,10
3739548009,7
3735624409,7
3739540923,16
3664569359,1
3660402916,6
3708511439,14
3736461750,1
3626006447,16
3702558693,10
3741072427,16
3707383358,16
3738081533,7
3738076957,15
3733092655,1
3736863213,6
3729450167,14
3736440819,14
3725269981,16
3705898427,14
3661674712,1
3735225045,15
3667477972,10
3736833781,7
3664549741,11
3741714848,3
3740228656,16
3715833718,1
3726619692,11
3730667079,9
3736438870,1
3711771502,1
3734830056,14
3737913396,14
3728887478,9
3741661149,10
3728828230,2
3720399629,16
3720189094,16
3641771159,5
3732666032,15
3661677108,16
3732117137,9
3731370303,1
3738027557,15
3733365182,9
3645682476,9
3732039378,2
3736445225,3
3726117997,1
3623656829,7
3714345128,3
3630042904,10
3737525910,14
3677263075,10
3667909373,5
3670459911,1
3720129223,16
3739537528,15
3736331292,1
3710059086,6
3731725473,10
3737262887,16
3741151380,16
3728094708,11
3641771087,5
3730874575,1
3658777464,15
3717180033,7
3721857254,14
3728791480,11
3740231308,13
3720410334,11
3736389897,10
3703222634,7
3627723574,15
3713668871,11
3740392159,1
3719405745,2
3724284038,5
3660131161,15
3738567018,2
3675363211,11
3590317674,16
3731948729,1
3737302902,16
3725605613,7
3706082745,14
3732705232,11
3706087109,14
3734727297,15
3678671484,10
3733577210,10
3722977205,6
3741951508,1
3703428683,10
3735322439,7
3734020007,12
3641775716,5
3714628061,10
3736297822,1
3730355141,0
3725846809,9
3694897683,9
3724283011,5
3738122272,7
3732853334,12
3651897605,3
3736031813,15
3720177336,2
3697940654,1
3739544372,7
3736024481,10
3669209828,14
3737067021,16
3735323587,1
3708513181,2
3727013725,14
3659796428,11
3590309767,1
3731469545,16
3740054447,7
3652073089,16
3733657541,10
3708510454,3
3732202341,9
3727086963,9
3733213888,9
3736575016,7
3641771228,5
3729835937,16
3731339767,1
3729693958,7
3725329388,7
3731086384,10
3714593817,15
3739288570,3
3732711007,7
3732112853,1
3673080821,5
3649664540,10
3664567641,10
3739547004,4
3732183140,1
3738793498,8
3726266848,11
3724268272,1
3699956924,15
3732711036,14
3714594624,16
3689060136,11
3606883718,9
3733962940,1
3727927783,9
3641768342,5
3668169080,11
3667473845,15
3731599814,19
3733056389,2
3670841342,16
3732893216,9
3736912097,3
3733150069,14
3730014538,14
3735313410,1
3708508814,1
3734719627,2
3646122151,1
3728565347,12
3732705657,7
3641762978,5
3638079487,1
3708567308,14
3737945910,11
3673082406,5
3737993183,14
3694664644,11
3724277796,4
